id;language_id;title;slug;category_id;feature_image;summary;description;variations;addons;current_price;previous_price;rating;status;is_feature;created_at;updated_at;is_special;fidelity_score
71;179;Le deme chocolat noir et framboise;Le-deme-chocolat-noir-et-framboise;19;1640917116.jpg;Une base de ganache croquante, surmontee deune mousse aerienne de chocolat noir 55% avec un coeu.r de compotee de framboises.;;0.00;"[{""name"":""Extra fraises"",""price"":2},{""name"":""Extra cr\u00e8me fouette"",""price"":1}]";9.00;0.00;0.00;1;1;31/12/2021 03:18;31/12/2021 03:20;0;3
72;179;Geteau au fromage et framboises;Geteau-au-fromage-et-framboises;19;1640917177.jpg;Geteau au fromage renverse servi en verrine avec son crumble croquant aux biscuits Graham caramelisees.;;0.00;"[{""name"":""Extra amandes"",""price"":1},{""name"":""Extra Caramel Speculoos"",""price"":0}]";9.00;0.00;0.00;1;1;31/12/2021 03:19;31/12/2021 03:21;0;3
73;179;Brownie caramel fleur de sel;Brownie-caramel-fleur-de-sel;19;1640917228.jpg;Des morceaux de geteau au chocolat blanc dans un brownie intense au chocolat noir 55%, servi avec notre caramel fleur de sel maison. (Ingredients sans gluten, mais peuvent avoir ete en contact avec du gluten);;0.00;0.00;9.00;0.00;0.00;1;1;31/12/2021 03:20;31/12/2021 03:21;0;3
74;179;Perrier;Perrier;22;1640917495.jpg;Perrier Regulier 500ml;;0.00;0.00;3.00;0.00;0.00;1;1;31/12/2021 03:24;31/12/2021 03:25;0;1
75;179;Jus d'orange;Jus-d'orange;22;1640917592.jpg;Oasis Orange 300ml;;0.00;0.00;3.00;0.00;0.00;1;1;31/12/2021 03:26;31/12/2021 03:28;0;1
76;179;Soda;Soda;22;1640917640.jpg;7up 33 cl;;0.00;0.00;2.00;0.00;0.00;1;1;31/12/2021 03:27;31/12/2021 03:28;0;1
77;179;Soda;Soda;22;1640917680.jpg;Pepsi Cola 33 cl;;0.00;0.00;2.00;0.00;0.00;1;1;31/12/2021 03:28;31/12/2021 03:28;0;1
81;179;Soda 2;Soda-2;22;1640917680.jpg;Pepsi Cola 33 cl;;0.00;0.00;2.00;0.00;0.00;1;1;18/01/2022 13:03;18/01/2022 13:04;0;1
82;179;Soda 2;Soda-2;22;1640917680.jpg;Pepsi Cola 33 cl;;0.00;0.00;2.00;0.00;0.00;1;1;19/01/2022 02:49;19/01/2022 02:49;0;1
83;179;Soda 2;Soda-2;22;1640917680.jpg;Pepsi Cola 33 cl;;0.00;0.00;2.00;0.00;0.00;1;1;24/01/2022 19:26;24/01/2022 19:26;0;1
84;179;Soda 2;Soda-2;22;1640917680.jpg;Pepsi Cola 33 cl;;0.00;0.00;2.00;0.00;0.00;1;1;24/01/2022 19:26;24/01/2022 19:26;0;1
85;179;Poulet Quinoa;Poulet-Quinoa;20;1640916381.jpg;Bol e base de quinoa recouvert deune saveur de poulet grille de votre choix, avec nos sauces Signature et Tzatziki et garni de tomate, concombre, oignon rouge, poivron, maes et fromage Monterey Jack. (36g Proteine);;"[{""name"":""Poulet BBQ Fusion (Sucr\u00e9)"",""price"":0},{""name"":""Poulet Volcano (\u00c9pic\u00e9)"",""price"":0},{""name"":""Poulet Hercule (Citron)"",""price"":0},{""name"":""Poulet Shisha (\u00c0 l'ail)"",""price"":0}]";"[{""name"":""Tout"",""price"":0},{""name"":""Laitue"",""price"":0},{""name"":""Tomate"",""price"":0},{""name"":""Cornichon"",""price"":0},{""name"":""Fromage"",""price"":0}]";21.00;0.00;0.00;1;1;24/01/2022 19:27;24/01/2022 19:27;0;5
